x,y
9.375000,15.125000
9.254630,15.041667
9.134259,14.958333
9.013889,14.875000
8.893519,14.791667
8.773148,14.708333
8.652778,14.625000
8.532407,14.541667
8.412037,14.458333
8.291667,14.375000
8.171296,14.291667
8.050926,14.208333
7.930556,14.125000
7.810185,14.041667
7.689815,13.958333
7.569444,13.875000
7.449074,13.791667
7.328704,13.708333
7.208333,13.625000
7.087963,13.541667
6.967593,13.458333
6.847222,13.375000
6.726852,13.291667
6.606481,13.208333
6.486111,13.125000
6.365741,13.041667
6.245370,12.958333
6.125000,12.875000
5.977273,12.886364
5.829545,12.897727
5.681818,12.909091
5.534091,12.920455
5.386364,12.931818
5.238636,12.943182
5.090909,12.954545
4.943182,12.965909
4.795455,12.977273
4.647727,12.988636
4.500000,13.000000
4.352273,13.011364
4.204545,13.022727
4.056818,13.034091
3.909091,13.045455
3.761364,13.056818
3.613636,13.068182
3.465909,13.079545
3.318182,13.090909
3.170455,13.102273
3.022727,13.113636
2.875000,13.125000
