x,y,yaw,dir
3.625,15.125,-1.01086,1
3.67729,15.0416,-1.01133,1
3.72955,14.9581,-1.01226,1
3.78172,14.8746,-1.01365,1
3.83377,14.7911,-1.01549,1
3.88565,14.7075,-1.01777,1
3.93734,14.6237,-1.02046,1
3.98879,14.5399,-1.02353,1
4.03997,14.4559,-1.02695,1
4.09084,14.3718,-1.03067,1
4.14139,14.2874,-1.03463,1
4.1916,14.203,-1.03877,1
4.24143,14.1183,-1.04302,1
4.29089,14.0334,-1.04731,1
4.33998,13.9484,-1.05155,1
4.38869,13.8632,-1.05568,1
4.43704,13.7778,-1.05963,1
4.48503,13.6922,-1.06333,1
4.53271,13.6065,-1.06672,1
4.58008,13.5206,-1.06977,1
4.62718,13.4346,-1.07245,1
4.67404,13.3485,-1.07474,1
4.7207,13.2623,-1.07663,1
4.76719,13.176,-1.07813,1
4.81354,13.0896,-1.07924,1
4.8598,13.0032,-1.07998,1
4.90599,12.9168,-1.08036,1
4.95215,12.8303,-1.08038,1
4.99829,12.7439,-1.08007,1
5.04447,12.6575,-1.07939,1
5.09069,12.5711,-1.07836,1
5.137,12.4848,-1.07693,1
5.18343,12.3986,-1.07508,1
5.23001,12.3124,-1.07277,1
5.27678,12.2264,-1.06996,1
5.32379,12.1405,-1.06661,1
5.37107,12.0549,-1.06269,1
5.41868,11.9694,-1.05817,1
5.46666,11.8841,-1.05304,1
5.51508,11.7991,-1.04729,1
5.56398,11.7144,-1.04093,1
5.61341,11.63,-1.03399,1
5.66342,11.546,-1.02651,1
5.71406,11.4623,-1.01851,1
5.76537,11.379,-1.01007,1
5.8174,11.2962,-1.00122,1
5.87016,11.2138,-0.992031,1
5.92371,11.1318,-0.982546,1
5.97804,11.0504,-0.972818,1
6.0332,10.9694,-0.962893,1
6.08919,10.8889,-0.952812,1
6.14602,10.809,-0.942615,1
6.20371,10.7296,-0.932337,1
6.26227,10.6507,-0.922014,1
6.32168,10.5723,-0.911679,1
6.38197,10.4945,-0.901368,1
6.44312,10.4172,-0.891117,1
6.50512,10.3405,-0.880962,1
6.56798,10.2643,-0.870943,1
6.63168,10.1886,-0.861098,1
6.6962,10.1135,-0.851466,1
6.76153,10.0389,-0.842085,1
6.82764,9.96488,-0.832992,1
6.89452,9.89131,-0.824221,1
6.96213,9.81824,-0.815802,1
7.03045,9.74563,-0.807765,1
7.09944,9.67348,-0.800133,1
7.16908,9.60176,-0.79293,1
7.23932,9.53046,-0.786174,1
7.31012,9.45954,-0.779882,1
7.38146,9.38899,-0.774068,1
7.45329,9.31877,-0.768745,1
7.52556,9.24886,-0.763924,1
7.59824,9.17924,-0.711598,1
7.67656,9.11171,-0.630636,1
7.74085,9.06477,-0.621528,1
7.83974,8.99394,-0.617389,1
7.95607,8.91135,-0.614192,1
8.07267,8.82913,-0.610281,1
8.17235,8.75941,-0.601992,1
8.23797,8.71433,-0.590024,1
8.33975,8.64618,-0.720813,1
8.42133,8.57451,-0.746805,1
8.50004,8.50165,-0.77591,1
8.5756,8.42751,-0.808176,1
8.64776,8.35199,-0.843636,1
8.71625,8.27502,-0.882308,1
8.78083,8.19653,-0.924189,1
8.84129,8.11643,-0.969238,1
8.8974,8.03469,-1.01738,1
8.94895,7.95125,-1.06847,1
8.99575,7.86607,-1.12234,1
9.03759,7.77909,-1.17872,1
9.07431,7.69029,-1.2373,1
9.10572,7.59964,-1.29767,1
9.13164,7.5071,-1.35939,1
9.15191,7.41264,-1.42197,1
9.16637,7.31624,-1.48412,1
9.17484,7.2187,-1.54694,1
9.17718,7.12084,-1.61151,1
9.17321,7.02348,-1.67891,1
9.16278,6.92742,-1.7503,1
9.14574,6.83349,-1.82683,1
9.12192,6.74249,-1.90971,1
9.09116,6.65524,-2.00006,1
9.0533,6.57254,-2.09885,1
9.0082,6.49521,-2.20667,1
8.95567,6.42405,-2.29768,1
8.89697,6.35805,-2.37017,1
8.83333,6.29616,-2.42387,1
8.76598,6.23736,-2.45977,1
8.69612,6.18065,-2.47753,1
8.625,6.12499,-2.47753,1
