x,y
-0.251350,18.036884
-0.001350,18.036884
0.248650,18.036884
0.498650,18.036884
0.748650,17.786884
0.998650,17.536884
1.248650,17.286884
1.498650,17.286884
1.748650,17.286884
1.998650,17.286884
2.248650,17.286884
2.498650,17.036884
2.748650,16.786884
2.998650,16.786884
3.248650,16.536884
3.498650,16.536884
3.748650,16.536884
3.998650,16.286884
4.248650,16.036884
4.498650,16.036884
4.748650,16.036884
4.998650,16.036884
5.248650,15.786884
5.498650,15.786884
5.748650,15.786884
5.998650,15.786884
6.248650,15.786884
6.498650,15.786884
6.748650,15.786884
6.998650,15.786884
7.248650,15.786884
7.498650,15.536884
7.748650,15.286884
7.998650,15.036884
8.248650,14.786884
8.498650,14.536884
8.748650,14.286884
8.998650,14.036884
9.248650,13.786884
9.498650,13.536884
9.748650,13.286884
9.998650,13.036884
10.248650,12.786884
10.498650,12.536884
10.748650,12.286884
10.998650,12.036884
11.248650,11.786884
11.498650,11.536884
11.748650,11.536884
11.998650,11.536884
12.248650,11.536884
12.498650,11.536884
12.748650,11.536884
12.998650,11.536884
13.248650,11.536884
13.498650,11.536884
13.748650,11.536884
13.998650,11.536884
14.248650,11.536884
14.498650,11.536884
14.748650,11.536884
14.998650,11.536884
15.248650,11.536884
15.498650,11.536884
15.748650,11.286884
15.998650,11.286884
16.248650,11.286884
16.498650,11.286884
16.748650,11.286884
16.998650,11.286884
17.248650,11.286884
17.498650,11.286884
17.748650,11.286884
17.998650,11.286884
18.248650,11.286884
18.498650,11.286884
18.748650,11.286884
18.998650,11.286884
19.248650,11.286884
19.498650,11.286884
19.748650,11.286884
19.998650,11.286884
20.248650,11.286884
20.498650,11.286884
20.748650,11.286884
20.998650,11.286884
21.248650,11.286884
21.498650,11.286884
21.748650,11.286884
21.998650,11.036884
22.248650,11.036884
22.498650,11.036884
22.748650,11.036884
22.998650,11.036884
23.248650,11.036884
23.498650,11.036884
23.748650,11.036884
23.998650,11.036884
24.248650,11.036884
24.498650,11.036884
24.748650,11.036884
24.998650,11.036884
25.248650,11.036884
25.498650,11.036884
25.748650,11.036884
25.998650,11.036884
26.248650,11.036884
26.498650,11.036884
26.748650,11.036884
26.998650,11.036884
27.248650,11.036884
27.498650,11.036884
27.748650,11.036884
27.998650,11.036884
28.248650,11.036884
28.498650,11.036884
28.748650,11.036884
28.998650,10.786884
29.248650,10.786884
29.498650,10.786884
29.748650,10.786884
29.998650,10.786884
30.248650,10.786884
30.498650,10.786884
30.748650,10.786884
30.998650,10.786884
31.248650,10.786884
31.498650,10.786884
31.748650,10.786884
31.998650,10.786884
32.248650,10.786884
32.498650,10.786884
32.748650,10.786884
32.998650,10.786884
33.248650,10.786884
33.498650,10.786884
33.748650,10.786884
33.998650,10.786884
34.248650,10.786884
34.498650,10.786884
34.748650,10.786884
34.998650,10.786884
35.248650,10.786884
35.498650,10.786884
35.748650,10.786884
35.998650,10.786884
36.248650,10.786884
36.498650,10.536884
36.748650,10.286884
36.998650,10.036884
37.248650,9.786884
37.498650,9.536884
37.748650,9.286884
37.998650,9.036884
38.248650,8.786884
38.498650,8.536884
38.748650,8.286884
38.998650,8.036884
39.248650,7.786884
39.498650,7.536884
39.748650,7.286884
39.998650,7.036884
40.248650,7.036884
40.498650,7.036884
40.748650,7.036884
40.998650,7.036884
41.248650,7.036884
41.498650,7.036884
41.748650,7.036884
41.998650,7.036884
42.248650,7.036884
42.498650,7.036884
42.748650,7.036884
42.998650,7.036884
43.248650,7.036884
43.498650,6.786884
43.748650,6.536884
43.998650,6.286884
44.248650,6.036884
44.498650,5.786884
44.748650,5.536884
