label,mode,weight,kernel,strength,min_conf,gate_threshold,gate_low_scale,expanded_nodes,search_time_ms,end_to_end_ms,path_length_m,path_points,delta_vs_baseline
learned_spike,learned_spike,0.1,3,1.0,0.1,0.0,1.0,2342,68.19540800006507,515.6330480003817,49.14213562373098,181,-489
learned_spike,learned_spike,0.1,3,1.0,0.05,0.0,1.0,2342,79.78832299977512,527.2259630000917,49.14213562373098,181,-489
learned_spike_safe,learned_spike_safe,0.2,5,1.0,0.1,0.2,0.5,2348,61.703275000581925,509.14091500089853,49.14213562373098,181,-483
learned_spike_safe,learned_spike_safe,0.15,5,1.0,0.05,0.15,0.5,2348,62.738551000620646,510.17619100093725,49.14213562373098,181,-483
learned_spike_safe,learned_spike_safe,0.15,5,1.0,0.05,0.2,0.5,2348,62.96178399952623,510.39942399984284,49.14213562373098,181,-483
learned_spike_safe,learned_spike_safe,0.2,5,1.0,0.05,0.15,0.5,2348,63.74284499997884,511.18048500029545,49.14213562373098,181,-483
learned_spike_safe,learned_spike_safe,0.15,5,1.0,0.2,0.2,0.5,2348,64.06706400048279,511.5047040007994,49.14213562373098,181,-483
learned_spike_safe,learned_spike_safe,0.15,5,1.0,0.1,0.2,0.5,2348,64.12412999998196,511.56177000029857,49.14213562373098,181,-483
learned_spike_safe,learned_spike_safe,0.15,5,1.0,0.1,0.15,0.5,2348,64.25193500035675,511.68957500067336,49.14213562373098,181,-483
learned_spike,learned_spike,0.2,5,0.75,0.2,0.0,1.0,2348,64.3234350000057,511.7610750003223,49.14213562373098,181,-483
learned_spike_safe,learned_spike_safe,0.2,5,1.0,0.2,0.2,0.5,2348,64.96561400035716,512.4032540006738,49.14213562373098,181,-483
learned_spike,learned_spike,0.2,5,0.75,0.05,0.0,1.0,2348,66.63099399975181,514.0686340000684,49.14213562373098,181,-483
learned_spike_safe,learned_spike_safe,0.2,5,1.0,0.05,0.2,0.5,2348,67.98296800025128,515.4206080005679,49.14213562373098,181,-483
learned_spike_safe,learned_spike_safe,0.1,5,1.0,0.2,0.15,0.5,2348,69.11627099998441,516.553911000301,49.14213562373098,181,-483
learned_spike_safe,learned_spike_safe,0.2,5,1.0,0.2,0.15,0.5,2348,69.14902399967104,516.5866639999876,49.14213562373098,181,-483
learned_spike_safe,learned_spike_safe,0.15,5,1.0,0.2,0.15,0.5,2348,71.22640200032038,518.664042000637,49.14213562373098,181,-483
learned_spike_safe,learned_spike_safe,0.1,5,1.0,0.1,0.2,0.5,2348,71.24029399983556,518.6779340001522,49.14213562373098,181,-483
learned_spike_safe,learned_spike_safe,0.1,5,1.0,0.2,0.2,0.5,2348,71.48115600011806,518.9187960004347,49.14213562373098,181,-483
learned_spike_safe,learned_spike_safe,0.1,5,1.0,0.05,0.2,0.5,2348,72.45158000023366,519.8892200005503,49.14213562373098,181,-483
