1,1,1,1,1,0.995172,0.993799,0.990561,0.991203,0.992072,0.991882,0.994779,1,1,1,1,1,1,1,1,1,1,1,0.958417,0.932005,0.990296,1,1,1,1,1,1,1,1,1,0.994759,0.997923,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0.996637,0.993436,0.994118,0.985546,0.991623,0.99082,0.986156,1,1,1,1,1,1,0.996444,0.972485,0.920787,0.674069,0.951294,0.867484,0.977922,0.962741,0.994763,1,1,1,1,0.999575,1,1,1,1,0.997877,0.999241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.997129,1,1,1,1,0.963921,0.950474,0.936808,0.9474,0.922582,0.941729,0.949444,0.891105,1,1,1,0.979929,0.98027,0.992256,0.878659,0.818478,0.608907,0.000117868,0.794569,0.711369,0.753686,0.956769,1,0.958805,0.989204,0.994182,1,1,1,1,1,0.978548,0.987905,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.986149,1,1,1,1,0.974974,0.95826,0.960798,0.952869,0.943177,0.940763,0.935649,0.922052,0.76397,0.897447,0.879696,0.910262,0.952966,0.962516,0.752004,0.760102,0.538692,0.705641,0.562989,0.776276,0.803303,0.923892,0.911082,1,1,1,1,1,1,1,1,1,0.978271,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.977537,0.976906,1,1,1,1,0.939512,0.956119,0.952234,0.944844,0.944073,0.939614,0.934134,0.916126,0.837039,0.886163,0.936771,0.949856,0.946645,0.870418,0.741209,0.781789,0.695613,0.774653,0.787266,0.796354,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.997096,0.997449
0.975187,0.938996,1,1,1,1,0.961199,0.946148,0.956759,0.952869,0.946786,0.943922,0.936631,0.924906,0.929827,0.921392,0.938647,0.946298,0.94759,0.860389,0.876586,0.796205,0.75524,0.794185,0.73618,0.875676,1,1,1,1,1,1,1,1,1,0.985094,0.974784,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.958272,0.934985,0.993506,0.996819
0.98729,0.973055,0.948556,1,1,1,1,0.926347,0.936818,0.952234,0.9474,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.918688,0.907544,0.899771,1,1,1,1,1,1,1,0.937982,0.95356,0.980987,0.97096,0.981073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.958272,0.922455,0.938849,0.921585,0.990993,0.992631
0.990498,0.979521,0.875847,1,1,1,1,0.961199,0.946148,0.956759,0.952869,0.950338,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.940323,0.930332,0.880434,0.918462,1,1,1,0.959005,0.945363,0.915853,0.910262,0.96101,0.968089,0.9653,0.962144,0.969301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.937982,0.922455,0.938849,0.921585,0.955655,0.949856,0.985483,0.99069
0.990442,0.98349,0.922927,0.952463,1,1,1,1,0.926347,0.936818,0.952234,0.9474,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.942625,0.9388,0.936232,0.805789,1,0.905861,0.944714,0.956324,0.921594,0.914324,0.936771,0.954135,0.950353,0.948262,0.943841,0.928227,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.959005,0.945363,0.915853,0.910262,0.921585,0.955655,0.949856,0.946645,0.946298,0.985589,0.991823
0.989969,0.987333,0.943516,0.841297,1,1,1,1,0.961199,0.946148,0.956759,0.952869,0.950338,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.946723,0.93819,0.937619,0.919864,0.766056,0.91313,0.948609,0.94448,0.942625,0.943291,0.938647,0.946298,0.943854,0.93819,0.936008,0.943027,0.962306,1,1,1,1,1,1,1,1,1,1,1,0.913031,0.919473,0.948836,0.91227,0.920246,0.936845,0.949856,0.946645,0.946298,0.94759,0.950136,0.986423,0.991823
1,0.991933,0.968882,0.918636,0.952888,1,1,1,1,0.926347,0.936818,0.952234,0.9474,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.942625,0.945007,0.927946,0.900786,0.88224,0.948069,0.946645,0.946298,0.94759,0.950136,0.950136,0.950136,0.942625,0.90992,0.929126,0.952286,1,1,1,1,1,1,1,1,0.962733,0.937667,0.849252,0.855072,0.87976,0.90041,0.939796,0.951757,0.940311,0.946816,0.94759,0.950136,0.950136,0.950136,0.986423,0.991823
1,1,0.947487,0.905529,0.857626,1,1,1,1,0.961199,0.946148,0.956759,0.952869,0.950338,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.946723,0.938236,0.938427,0.944301,0.940552,0.941972,0.94759,0.950136,0.950136,0.950136,0.950136,0.950136,0.946723,0.933542,0.861051,0.923563,1,1,1,1,1,1,0.957888,0.949403,0.92695,0.928904,0.880387,0.830656,0.870662,0.811697,0.936905,0.95404,0.948499,0.9474,0.950136,0.950136,0.950136,0.950136,0.986423,0.991823
1,1,0.985245,0.882701,0.902425,0.952888,1,1,1,1,0.926347,0.936818,0.952234,0.9474,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.951837,0.952194,0.928446,0.942087,0.946777,0.929505,0.945406,0.950338,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.950136,0.936033,0.929469,0.792955,1,1,1,1,0.9334,0.892047,0.95725,0.938918,0.944522,0.941134,0.845252,0.92266,1,1,0.807528,0.942971,0.943403,0.928962,0.950136,0.950136,0.950136,0.950136,0.986423,0.991823
