global_index,local_index,x,y,yaw,dir
12,0,4.11663,14.1902,-0.9223,1
13,1,4.16386,14.1278,-0.830723,1
14,2,4.22077,14.0655,-0.830723,1
15,3,4.27768,14.0032,-0.830723,1
16,4,4.3346,13.9409,-0.830723,1
17,5,4.39151,13.8786,-0.810055,1
18,6,4.45083,13.8162,-0.810055,1
19,7,4.51016,13.7539,-0.810055,1
20,8,4.56948,13.6916,-0.810055,1
21,9,4.6288,13.6293,-0.843974,1
22,10,4.68422,13.5669,-0.843974,1
23,11,4.73964,13.5046,-0.843974,1
24,12,4.79506,13.4423,-0.843974,1
25,13,4.85047,13.38,-0.959932,1
26,14,4.89411,13.3177,-0.959932,1
27,15,4.93775,13.2553,-0.959932,1
28,16,4.98139,13.193,-0.959932,1
29,17,5.02503,13.1307,-1.27087,1
30,18,5.05073,13.0476,-1.27087,1
31,19,5.07643,12.9645,-1.27087,1
32,20,5.10212,12.8814,-1.43396,1
33,21,5.11357,12.7983,-1.43396,1
34,22,5.12501,12.7152,-1.43396,1
35,23,5.13645,12.6321,-1.45441,1
36,24,5.14617,12.549,-1.45441,1
37,25,5.15588,12.4659,-1.45441,1
38,26,5.1656,12.3828,-1.3366,1
39,27,5.18542,12.2997,-1.3366,1
40,28,5.20525,12.2166,-1.3366,1
41,29,5.22507,12.1335,-1.06691,1
42,30,5.27089,12.0504,-1.06691,1
