global_index,local_index,x,y,yaw,dir
12,0,4.16,14.2332,-0.974506,1
13,1,4.21994,14.1449,-0.966431,1
14,2,4.27165,14.07,-0.948796,1
15,3,4.30635,14.0216,-0.867407,1
16,4,4.35948,13.959,-0.908472,1
17,5,4.40953,13.8948,-0.920148,1
18,6,4.45878,13.8301,-0.932796,1
19,7,4.50718,13.7648,-0.94631,1
20,8,4.55467,13.6989,-0.960581,1
21,9,4.60121,13.6323,-0.975493,1
22,10,4.64677,13.5651,-0.99092,1
23,11,4.69132,13.4971,-1.00674,1
24,12,4.73483,13.4283,-1.02282,1
25,13,4.77731,13.3587,-1.03905,1
26,14,4.81874,13.2882,-1.05529,1
27,15,4.85913,13.217,-1.07143,1
28,16,4.89849,13.1448,-1.08735,1
29,17,4.93683,13.0718,-1.10297,1
30,18,4.97418,12.9979,-1.11815,1
31,19,5.01055,12.9231,-1.13282,1
32,20,5.04598,12.8474,-1.14691,1
33,21,5.0805,12.7709,-1.1603,1
34,22,5.11416,12.6936,-1.17296,1
35,23,5.147,12.6154,-1.1848,1
36,24,5.17906,12.5365,-1.19577,1
37,25,5.21041,12.4569,-1.20581,1
38,26,5.24109,12.3766,-1.2986,1
39,27,5.26347,12.2964,-1.19632,1
40,28,5.28568,12.2399,-1.17468,1
41,29,5.32149,12.1543,-1.16478,1
42,30,5.36448,12.0543,-1.15703,1
