global_index,local_index,x,y,yaw,dir
42,0,5.27089,12.0504,-1.06691,1
43,1,5.31671,11.9673,-1.06691,1
44,2,5.36253,11.8842,-0.993778,1
45,3,5.41662,11.8011,-0.993778,1
46,4,5.47071,11.718,-0.993778,1
47,5,5.5248,11.6349,-1.04739,1
48,6,5.57276,11.5518,-1.04739,1
49,7,5.62072,11.4687,-1.04739,1
50,8,5.66868,11.3856,-1.0472,1
51,9,5.71665,11.3025,-1.0472,1
52,10,5.76463,11.2194,-1.0472,1
53,11,5.81261,11.1363,-0.993172,1
54,12,5.86678,11.0532,-0.993172,1
55,13,5.92094,10.9701,-0.993172,1
56,14,5.97511,10.887,-0.877926,1
57,15,6.02685,10.8246,-0.877926,1
58,16,6.0786,10.7623,-0.877926,1
59,17,6.13034,10.7,-0.877926,1
60,18,6.18209,10.6376,-0.823922,1
61,19,6.23979,10.5753,-0.823922,1
62,20,6.29749,10.513,-0.823922,1
63,21,6.3552,10.4507,-0.823922,1
64,22,6.4129,10.3883,-0.797118,1
65,23,6.47379,10.326,-0.797118,1
66,24,6.53468,10.2637,-0.797118,1
67,25,6.59556,10.2013,-0.797118,1
68,26,6.65645,10.139,-0.783515,1
69,27,6.71902,10.0767,-0.783515,1
70,28,6.78158,10.0143,-0.783515,1
71,29,6.84415,9.95201,-0.783515,1
72,30,6.90672,9.88968,-0.776779,1
