global_index,local_index,x,y,yaw,dir
72,0,6.91642,9.89275,-0.805539,1
73,1,6.9923,9.81375,-0.80323,1
74,2,7.05716,9.74654,-0.798252,1
75,3,7.09982,9.70277,-0.778296,1
76,4,7.16313,9.64035,-0.778426,1
77,5,7.22633,9.57802,-0.778754,1
78,6,7.28949,9.5157,-0.779102,1
79,7,7.3526,9.45337,-0.779466,1
80,8,7.41567,9.39105,-0.779842,1
81,9,7.47869,9.32873,-0.780224,1
82,10,7.54166,9.26641,-0.780608,1
83,11,7.60458,9.20409,-0.780989,1
84,12,7.66744,9.14177,-0.781361,1
85,13,7.73027,9.07946,-0.781721,1
86,14,7.79304,9.01715,-0.782064,1
87,15,7.85577,8.95483,-0.782386,1
88,16,7.91846,8.89252,-0.708549,1
89,17,8.0042,8.81904,-0.801669,1
90,18,8.06146,8.75989,-0.817214,1
91,19,8.14755,8.66814,-0.823385,1
92,20,8.24786,8.5599,-0.827054,1
