index,x,y,yaw,dir
0,3.625,15.125,-1.02862,1
1,4.11663,14.1902,-0.9223,1
2,5.27089,12.0504,-1.06691,1
3,6.90672,9.88968,-0.776779,1
4,8.1749,8.64319,-0.795723,1
5,9.11404,6.68953,-1.96684,1
