index,x,y,yaw,dir
0,3.625,15.125,-1.1137,1
1,4.11857,14.26,-0.922749,1
2,5.31275,12.0769,-1.14001,1
3,6.88629,9.99688,-0.795984,1
4,8.22185,8.63786,-0.813373,1
5,9.05465,6.74908,-1.91294,1
