x,y
11.625000,5.625000
11.482143,5.660714
11.339286,5.696429
11.196429,5.732143
11.053571,5.767857
10.910714,5.803571
10.767857,5.839286
10.625000,5.875000
10.482143,5.910714
10.339286,5.946429
10.196429,5.982143
10.053571,6.017857
9.910714,6.053571
9.767857,6.089286
9.625000,6.125000
9.482143,6.160714
9.339286,6.196429
9.196429,6.232143
9.053571,6.267857
8.910714,6.303571
8.767857,6.339286
8.625000,6.375000
8.522059,6.477941
8.419118,6.580882
8.316176,6.683824
8.213235,6.786765
8.110294,6.889706
8.007353,6.992647
7.904412,7.095588
7.801471,7.198529
7.698529,7.301471
7.595588,7.404412
7.492647,7.507353
7.389706,7.610294
7.286765,7.713235
7.183824,7.816176
7.080882,7.919118
6.977941,8.022059
6.875000,8.125000
6.729167,8.145833
6.583333,8.166667
6.437500,8.187500
6.291667,8.208333
6.145833,8.229167
6.000000,8.250000
5.854167,8.270833
5.708333,8.291667
5.562500,8.312500
5.416667,8.333333
5.270833,8.354167
5.125000,8.375000
4.979167,8.395833
4.833333,8.416667
4.687500,8.437500
4.541667,8.458333
4.395833,8.479167
4.250000,8.500000
4.104167,8.520833
3.958333,8.541667
3.812500,8.562500
3.666667,8.583333
3.520833,8.604167
3.375000,8.625000
3.229167,8.645833
3.083333,8.666667
2.937500,8.687500
2.791667,8.708333
2.645833,8.729167
2.500000,8.750000
2.354167,8.770833
2.208333,8.791667
2.062500,8.812500
1.916667,8.833333
1.770833,8.854167
1.625000,8.875000
