x,y
14.875000,0.375000
14.773438,0.476562
14.671875,0.578125
14.570312,0.679688
14.468750,0.781250
14.367188,0.882812
14.265625,0.984375
14.164062,1.085938
14.062500,1.187500
13.960938,1.289062
13.859375,1.390625
13.757812,1.492188
13.656250,1.593750
13.554688,1.695312
13.453125,1.796875
13.351562,1.898438
13.250000,2.000000
13.148438,2.101562
13.046875,2.203125
12.945312,2.304688
12.843750,2.406250
12.742188,2.507812
12.640625,2.609375
12.539062,2.710938
12.437500,2.812500
12.345833,2.925000
12.254167,3.037500
12.162500,3.150000
12.070833,3.262500
11.979167,3.375000
11.887500,3.487500
11.795833,3.600000
11.704167,3.712500
11.612500,3.825000
11.520833,3.937500
11.429167,4.050000
11.337500,4.162500
11.245833,4.275000
11.154167,4.387500
11.062500,4.500000
10.982143,4.625000
10.901786,4.750000
10.821429,4.875000
10.741071,5.000000
10.660714,5.125000
10.580357,5.250000
10.500000,5.375000
10.419643,5.500000
10.339286,5.625000
10.258929,5.750000
10.178571,5.875000
10.098214,6.000000
10.017857,6.125000
9.937500,6.250000
9.868056,6.375000
9.798611,6.500000
9.729167,6.625000
9.659722,6.750000
9.590278,6.875000
9.520833,7.000000
9.451389,7.125000
9.381944,7.250000
9.312500,7.375000
9.281250,7.500000
9.250000,7.625000
9.218750,7.750000
9.187500,7.875000
9.175000,8.012500
9.162500,8.150000
9.150000,8.287500
9.137500,8.425000
9.125000,8.562500
9.125000,8.708333
9.125000,8.854167
9.125000,9.000000
9.125000,9.145833
9.125000,9.291667
9.125000,9.437500
9.125000,9.583333
9.125000,9.729167
9.125000,9.875000
